15s1223
0.97300180	-0.06227187
0.97176311	-0.06063551
0.96864902	-0.05599128
0.96433612	-0.04921409
0.95866789	-0.04139046
0.95091963	-0.03306126
0.94062840	-0.02406101
0.92780025	-0.01417395
0.91255299	-0.00346269
0.89494129	0.00800635
0.87505847	0.02015641
0.85301974	0.03291520
0.82893772	0.04620077
0.80295403	0.05992344
0.77522253	0.07400054
0.74166000	0.08671000
0.70823000	0.09277000
0.67360000	0.09859000
0.63798000	0.10412000
0.60158000	0.10935000
0.56465000	0.11425000
0.52744000	0.11881000
0.49025000	0.12303000
0.45340000	0.12683000
0.41721000	0.13011000
0.38193000	0.13271000
0.34777000	0.13447000
0.31488000	0.13526000
0.28347000	0.13505000
0.25370000	0.13346000
0.22541000	0.13037000
0.19846000	0.12594000
0.17286000	0.12026000
0.14863000	0.11355000
0.12591000	0.10598000
0.10482000	0.09770000
0.08545000	0.08879000
0.06789000	0.07940000
0.05223000	0.06965000
0.03855000	0.05968000
0.02694000	0.04966000
0.01755000	0.03961000
0.01028000	0.02954000
0.00495000	0.01969000
0.00155000	0.01033000
0.00005000	0.00178000
0.00044000	-0.00561000
0.00264000	-0.01120000
0.00789000	-0.01427000
0.01718000	-0.01550000
0.03006000	-0.01584000
0.04627000	-0.01532000
0.06561000	-0.01404000
0.08787000	-0.01202000
0.11282000	-0.00925000
0.14020000	-0.00563000
0.17006000	-0.00075000
0.20278000	0.00535000
0.23840000	0.01213000
0.27673000	0.01928000
0.31750000	0.02652000
0.36044000	0.03358000
0.40519000	0.04021000
0.45139000	0.04618000
0.49860000	0.05129000
0.54639000	0.05534000
0.59428000	0.05820000
0.64176000	0.05976000
0.68832000	0.05994000
0.73344000	0.05872000
0.77173890	0.04975606
0.81002526	0.03542863
0.84512258	0.02071336
0.87663501	0.00587162
0.90416552	-0.00876244
0.92737242	-0.02287987
0.94577432	-0.03611355
0.95888988	-0.04751666
0.96714250	-0.05585678
0.97160907	-0.06070812
0.97300180	-0.06227187
